store_type,store_name,business_unit,business_group,contact_first_name,contact_last_name,zip_code,email
tienda propia,López Mateos,López Mateos,López Mateos,Viridiana,Guerrero,45070,lopezmateos@disenosdecarton.com.mx
franquicia,Av. México,Av. México,Av. México,Marcelo  ,Etcheverria,44600,avmexico@disenosdecarton.com
franquicia,Ávila Camacho,Ávila Camacho,Ávila Camacho,Toly,Carmona ,45160,vicajas.toly@hotmail.com
franquicia,Bugambilias,Bugambilias,Bugambilias,Brenda,Scheib ,45238,bugambilias@disenosdecarton.com
franquicia,Circunvalación,Circunvalación,Circunvalación,Paola ,Memije ,44610,circunvalacion@disenosdecarton.com
tienda propia,Clouthier,Comercializadora de Cartón y Diseño,Diseños de Cartón,Miriam,Rizo,45058,clouthier@disenosdecarton.com
franquicia,Mandarina,Mandarina,Mandarina,Sol ,Prado,44950,cartonmandarina_2014@hotmail.com
franquicia,Galerías,Galerías,Galerías,Nallely,Benitez ,45030,elserviciovende.nallely@gmail.com
tienda propia,Calz. Independencia,Comercializadora de Cartón y Diseño,Diseños de Cartón,Gaby,Nuño,44290,calzada@disenosdecarton.com.mx
tienda propia,Lapizlázuli,Comercializadora de Cartón y Diseño,Diseños de Cartón,Vicky,Santoyo,45089,lapizlazuli@disenosdecarton.com.mx 
tienda propia,Plaza Guadalupe,Comercializadora de Cartón y Diseño,Diseños de Cartón,Ivonne ,Avila,45030,guadalupe@disenosdecarton.com.mx
tienda propia,Puerto Vallarta,Comercializadora de Cartón y Diseño,Diseños de Cartón,Clarissa,Isordia,48330,ptovallarta@disenosdecarton.com.mx
franquicia,Olímpica,Olímpica,Olímpica,Diana,Alvarez,44870,olimpica@disenosdecarton.com.mx
tienda propia,Roble,Comercializadora de Cartón y Diseño,Diseños de Cartón,Monica ,Lnderos,44900,roble@disenosdecarton.com.mx
tienda propia,San Juan Bosco,Comercializadora de Cartón y Diseño,Diseños de Cartón,Maribel ,Flores,44730,snjuanbosco@disenosdecarton.com
tienda propia,Santa Teresita,Comercializadora de Cartón y Diseño,Diseños de Cartón,Atziri,Castillo,44600,santateresita@disenosdecarton.com.mx
tienda propia,Valle Real,Comercializadora de Cartón y Diseño,Diseños de Cartón,Ericka,Martinez,45019,vallereal@disenosdecarton.com.mx
tienda propia,Río Nilo,Comercializadora de Cartón y Diseño,Diseños de Cartón,Sara,Paz,44860,rionilo@disenosdecarton.com.mx
tienda propia,Patria,Diseños de Cartón,Diseños de Cartón,Ma. Elena,Gutierrez,45027,patria@disenosdecarton.com.mx
